index,Zip Code,Population,People / Sq. Mile
820,12583,"2,427",164.31
821,13456,"4,277",164.07
822,12956,"2,036",163.49
823,13148,"10,913",159.3
824,13607,"2,017",159.14
825,12585,956,158.68
826,12414,"11,641",157.73
827,13165,"10,828",157.68
828,11932,"1,429",156.98
829,11975,398,155.6
830,14028,"1,737",154.95
831,14548,"4,149",154.66
832,11976,"1,822",153.37
833,12470,729,153.28
834,13032,"12,427",152.93
835,12018,"7,513",152.57
836,12564,"6,644",151.41
837,10998,"3,648",151.2
838,12106,"2,297",149.79
839,12903,44,149.09
840,12123,"5,245",148.56
841,12009,"7,628",148.52
842,13346,"5,735",148.16
843,14475,223,146.15
844,11930,"1,167",146.14
845,14872,480,145.82
846,14470,"8,953",145.64
847,14870,"9,347",145.07
848,14428,"7,539",145.01
849,14069,785,144.19
850,12428,"8,367",144.13
851,14001,"9,289",142.12
852,14733,"4,019",142.1
853,12849,445,141.75
854,13490,"1,710",141.5
855,12451,"1,496",141.36
856,14546,"5,479",140.58
857,13076,"2,344",140.48
858,13080,"3,553",140.45
859,14103,"11,612",139.88
860,13166,"6,107",139.15
861,14482,"9,198",139.01
862,14585,273,138.68
863,13655,"2,558",138.4
864,14843,"13,383",138.25
865,14505,"5,908",137.77
866,14787,"5,487",137
867,13476,"3,219",134.24
868,12788,"2,935",134.2
869,14172,"3,230",133.56
870,14551,"5,596",133.44
871,12578,"2,105",132.28
872,13827,"11,823",132.16
873,12575,"2,089",131.84
874,13815,"14,019",131.5
875,13340,"7,937",130.86
876,12025,"5,683",130.46
877,12871,"4,033",130.38
878,12747,"1,939",130.37
879,12962,"5,967",130.13
880,14712,"3,533",129.79
881,13612,"2,711",129.63
882,14485,"4,593",129.39
883,12507,108,129.14
884,10958,"2,967",129.09
885,13152,"8,453",128.75
886,12192,"2,270",128.23
887,12863,596,127.39
888,12043,"8,207",126.6
889,13053,"4,413",126.51
890,14131,"5,307",124.95
891,14025,"3,141",124.91
892,14411,"14,676",124.78
893,14530,"5,780",124.53
894,13164,"1,759",124.25
895,14543,"3,296",123.87
896,13833,"4,463",123.69
897,12775,"1,666",122.96
898,12749,251,122.24
899,12041,14,121.41
900,12778,735,121.32
901,12484,"2,540",121.13
902,14865,"2,699",120.48
903,12433,404,120.3
904,14882,"3,943",119.52
905,13685,"2,206",119.49
906,12522,"5,691",119.24
907,13637,"3,849",118.93
908,13145,"1,874",118.44
909,14011,"8,170",117.57
910,12405,454,116.16
911,14816,624,115.83
912,12070,"1,276",115.71
913,12833,"4,492",115.54
914,12460,376,115.42
915,13308,"4,867",114.94
916,12068,"3,999",114.73
917,13074,"4,340",114.58
918,12056,"2,219",114.22
919,12791,448,113.68
920,14033,"2,062",112.99
921,13363,"2,397",112.9
922,12526,"3,638",112.74
923,13304,"1,655",111.93
924,14769,"1,024",111.83
925,13073,"6,000",111.34
926,14070,"5,735",110.57
927,14489,"7,669",109.24
928,12752,145,109.14
929,13428,"1,698",108.85
930,14532,"4,392",108.25
931,12859,"1,984",107.53
932,12748,"1,929",107.05
933,14125,"3,839",107.02
934,12090,"6,189",106.75
935,14478,"1,364",106.75
936,12037,"4,017",106.52
937,14416,"3,875",106.52
938,13408,"3,908",106.48
939,14744,"2,282",106.14
940,13068,"5,038",105.76
941,13619,"11,112",105.64
942,13077,"6,823",105.61
943,13676,"17,029",105.45
944,13084,"4,215",105.39
945,14141,"7,858",104.83
946,13114,"6,462",104.63
947,12440,"2,010",104.51
948,11957,662,104.48
949,10170,1,103.92
950,14864,"1,427",103.6
951,12514,"2,854",102.78
952,13777,"1,049",102.62
953,14042,"4,553",102.5
954,14105,"4,483",102.42
955,13668,"3,173",102.38
956,14067,"5,128",102.36
957,10969,"1,084",101.95
958,12525,"2,868",101.58
959,14437,"12,296",101.47
960,13035,"8,065",101.44
961,12420,369,100.37
962,14423,"4,953",100.25
963,14770,"3,269",100.17
964,14810,"12,536",100.03
965,13478,"3,219",99.98
966,12125,"1,493",99.68
967,12404,"3,772",99.24
968,13407,"5,724",99.03
969,13167,"3,449",98.85
970,12157,"3,987",98.8
971,12845,"4,801",98.75
972,13744,"1,202",98.61
973,13160,"1,856",98.43
974,14036,"5,243",98.22
975,14545,203,97.91
976,12838,649,97.53
977,14466,"1,593",97.39
978,14476,"2,623",96.81
979,12134,"2,623",96.23
980,14471,"2,861",95.89
981,12844,269,95.85
982,13110,"2,472",95.54
983,14706,"7,596",95.16
984,13746,"2,203",95.09
985,12785,186,94.98
986,12035,"1,287",94.15
987,14081,"3,418",94.07
988,13624,"5,810",93.9
